iter	Passed	Remaining
1022	8677	8287
1023	8686	8279
1024	8693	8269
1025	8701	8260
1026	8708	8250
1027	8717	8242
1028	8723	8232
1029	8732	8224
1030	8740	8214
1031	8749	8206
1032	8757	8198
1033	8771	8194
1034	8786	8192
1035	8794	8183
1036	8804	8176
1037	8813	8168
1038	8820	8158
1039	8828	8149
1040	8835	8139
1041	8843	8130
1042	8850	8120
1043	8858	8111
1044	8866	8102
1045	8873	8093
1046	8881	8084
1047	8888	8074
1048	8897	8065
1049	8906	8058
1050	8914	8049
1051	8922	8040
1052	8930	8031
1053	8937	8021
1054	8944	8012
1055	8951	8002
1056	8960	7994
1057	8968	7984
1058	8976	7976
1059	8983	7966
1060	8992	7958
1061	8999	7948
1062	9008	7940
1063	9015	7930
1064	9023	7922
1065	9030	7912
1066	9039	7903
1067	9045	7893
1068	9054	7885
1069	9061	7875
1070	9071	7868
1071	9078	7859
1072	9087	7850
1073	9094	7841
1074	9102	7832
1075	9110	7823
1076	9120	7816
1077	9128	7807
1078	9136	7798
1079	9143	7788
1080	9151	7780
1081	9158	7770
1082	9167	7762
1083	9173	7752
1084	9182	7743
1085	9190	7734
1086	9198	7726
1087	9204	7715
1088	9211	7705
1089	9218	7696
1090	9225	7686
1091	9234	7678
1092	9240	7668
1093	9249	7660
1094	9256	7650
1095	9265	7642
1096	9271	7631
1097	9280	7624
1098	9288	7614
1099	9298	7607
1100	9305	7598
1101	9314	7590
1102	9324	7582
1103	9331	7573
1104	9337	7563
1105	9346	7554
1106	9353	7545
1107	9361	7536
1108	9368	7526
1109	9376	7518
1110	9383	7508
1111	9392	7500
1112	9399	7490
1113	9407	7482
1114	9414	7472
1115	9422	7464
1116	9430	7454
1117	9437	7445
1118	9445	7436
1119	9452	7426
1120	9461	7418
1121	9468	7409
1122	9478	7401
1123	9485	7392
1124	9495	7385
1125	9505	7378
1126	9516	7371
1127	9527	7365
1128	9538	7358
1129	9547	7350
1130	9557	7343
1131	9566	7335
1132	9575	7327
1133	9585	7320
1134	9593	7311
1135	9602	7302
1136	9609	7293
1137	9617	7285
1138	9624	7275
1139	9632	7266
1140	9639	7257
1141	9646	7247
1142	9654	7239
1143	9660	7228
1144	9670	7221
1145	9677	7211
1146	9686	7203
1147	9693	7194
1148	9702	7186
1149	9709	7176
1150	9720	7169
1151	9726	7159
1152	9735	7151
1153	9743	7142
1154	9751	7134
1155	9757	7124
1156	9766	7115
1157	9773	7106
1158	9781	7097
1159	9788	7088
1160	9797	7079
1161	9803	7070
1162	9811	7061
1163	9818	7051
1164	9827	7043
1165	9833	7033
1166	9840	7024
1167	9847	7015
1168	9854	7005
1169	9863	6996
1170	9869	6986
